decoration_id,level,amount
4,1,1
4,2,2
4,3,3
4,4,4
4,5,5
4,6,6
4,7,7
4,8,8
4,9,9
4,10,10
4,11,11
4,12,12
4,13,13
4,14,14
4,15,15
4,16,16
4,17,17
4,18,18
4,19,19
4,20,20
5,1,1
5,2,2
5,3,3
5,4,4
5,5,5
5,6,6
5,7,7
5,8,8
5,9,9
5,10,10
5,11,11
5,12,12
5,13,13
5,14,14
5,15,15
5,16,16
5,17,17
5,18,18
5,19,19
5,20,20
6,1,1
6,2,2
6,3,3
6,4,4
6,5,5
6,6,6
6,7,7
6,8,8
6,9,9
6,10,10
6,11,11
6,12,12
6,13,13
6,14,14
6,15,15
6,16,16
6,17,17
6,18,18
6,19,19
6,20,20
7,1,1
7,2,2
7,3,3
7,4,4
7,5,5
7,6,6
7,7,7
7,8,8
7,9,9
7,10,10
7,11,11
7,12,12
7,13,13
7,14,14
7,15,15
7,16,16
7,17,17
7,18,18
7,19,19
7,20,20
8,1,1
8,2,2
8,3,3
8,4,4
8,5,5
8,6,6
8,7,7
8,8,8
8,9,9
8,10,10
8,11,11
8,12,12
8,13,13
8,14,14
8,15,15
8,16,16
8,17,17
8,18,18
8,19,19
8,20,20
9,1,1
9,2,2
9,3,3
9,4,4
9,5,5
9,6,6
9,7,7
9,8,8
9,9,9
9,10,10
9,11,11
9,12,12
9,13,13
9,14,14
9,15,15
9,16,16
9,17,17
9,18,18
9,19,19
9,20,20
10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
10,6,6
10,7,7
10,8,8
10,9,9
10,10,10
10,11,11
10,12,12
10,13,13
10,14,14
10,15,15
10,16,16
10,17,17
10,18,18
10,19,19
10,20,20
11,1,1
11,2,2
11,3,3
11,4,4
11,5,5
11,6,6
11,7,7
11,8,8
11,9,9
11,10,10
11,11,11
11,12,12
11,13,13
11,14,14
11,15,15
11,16,16
11,17,17
11,18,18
11,19,19
11,20,20
15,1,1
15,2,2
15,3,3
15,4,4
15,5,5
15,6,6
15,7,7
15,8,8
15,9,9
15,10,10
15,11,11
15,12,12
15,13,13
15,14,14
15,15,15
15,16,16
15,17,17
15,18,18
15,19,19
15,20,20
16,1,1
16,2,2
16,3,3
16,4,4
16,5,5
16,6,6
16,7,7
16,8,8
16,9,9
16,10,10
16,11,11
16,12,12
16,13,13
16,14,14
16,15,15
16,16,16
16,17,17
16,18,18
16,19,19
16,20,20
17,1,1
17,2,2
17,3,3
17,4,4
17,5,5
17,6,6
17,7,7
17,8,8
17,9,9
17,10,10
17,11,11
17,12,12
17,13,13
17,14,14
17,15,15
17,16,16
17,17,17
17,18,18
17,19,19
17,20,20
18,1,1
18,2,2
18,3,3
18,4,4
18,5,5
18,6,6
18,7,7
18,8,8
18,9,9
18,10,10
18,11,11
18,12,12
18,13,13
18,14,14
18,15,15
18,16,16
18,17,17
18,18,18
18,19,19
18,20,20
19,1,1
19,2,2
19,3,3
19,4,4
19,5,5
19,6,6
19,7,7
19,8,8
19,9,9
19,10,10
19,11,11
19,12,12
19,13,13
19,14,14
19,15,15
19,16,16
19,17,17
19,18,18
19,19,19
19,20,20
31,1,1
31,2,2
31,3,3
31,4,4
31,5,5
31,6,6
31,7,7
31,8,8
31,9,9
31,10,10
31,11,11
31,12,12
31,13,13
31,14,14
31,15,15
31,16,16
31,17,17
31,18,18
31,19,19
31,20,20
34,1,1
34,2,2
34,3,3
34,4,4
34,5,5
34,6,6
34,7,7
34,8,8
34,9,9
34,10,10
34,11,11
34,12,12
34,13,13
34,14,14
34,15,15
34,16,16
34,17,17
34,18,18
34,19,19
34,20,20
35,1,1
35,2,2
35,3,3
35,4,4
35,5,5
35,6,6
35,7,7
35,8,8
35,9,9
35,10,10
35,11,11
35,12,12
35,13,13
35,14,14
35,15,15
35,16,16
35,17,17
35,18,18
35,19,19
35,20,20
36,1,1
36,2,2
36,3,3
36,4,4
36,5,5
36,6,6
36,7,7
36,8,8
36,9,9
36,10,10
36,11,11
36,12,12
36,13,13
36,14,14
36,15,15
36,16,16
36,17,17
36,18,18
36,19,19
36,20,20
37,1,1
37,2,2
37,3,3
37,4,4
37,5,5
37,6,6
37,7,7
37,8,8
37,9,9
37,10,10
37,11,11
37,12,12
37,13,13
37,14,14
37,15,15
37,16,16
37,17,17
37,18,18
37,19,19
37,20,20
38,1,1
38,2,2
38,3,3
38,4,4
38,5,5
38,6,6
38,7,7
38,8,8
38,9,9
38,10,10
38,11,11
38,12,12
38,13,13
38,14,14
38,15,15
38,16,16
38,17,17
38,18,18
38,19,19
38,20,20
39,1,1
39,2,2
39,3,3
39,4,4
39,5,5
39,6,6
39,7,7
39,8,8
39,9,9
39,10,10
39,11,11
39,12,12
39,13,13
39,14,14
39,15,15
39,16,16
39,17,17
39,18,18
39,19,19
39,20,20
